mode,hint,tag2,question,tag1,necessary_info,subtype,extra_info,cipher,archetype,vulnerability,flag,ciphertext,difficulty
,"When two RSA moduli share a common prime, computing GCD(n, n2) can reveal the shared prime factor.",,"When two friends reused a prime to send each other secret messages, their RSA encryption cracked wide open. Can you retrieve the flag from 51586720790344687192412810552278729791631514809153913011765043486780096438295102621076913922412466686581887539784858774640683703151654138202502742875476795467881316767133758222108472660358606053249320888455645185385592902165234027234966826333562986582392933562517957257772999567275526347898627174158877081262?

The flag format is flag{...}
n=127209933597513669470460539528999303760982327439553932212880973532611403674007457885449666491293946321185748956321619273995296204051089162755406326918002851725456094515986352638359750871724389559650116985485055468323171942073267681563245891017080627846233532854765223530560903626317019225616509122615816904157, n2=130417271914008469774772513048100177682718252184445255670557210033147748945505082171033296925395333332185364454915716215654815972284641782085075789914136774455974842959240262141717385180275091611102318088854796373595596682727487612887145116756903134663908094899690235895528257597664902472511241893136635375653, e=108930033611549941721192254288349471016365815628505960449802961076450549711344346595974359914058413039368517682690961109133846874718648801067888096644923102204875288040606099004660763152239033926870892882490035457512422097852635785610237963152095635120968054352198689922454779995168246566213955471437067944179",,"The flag format is flag{...}
n=127209933597513669470460539528999303760982327439553932212880973532611403674007457885449666491293946321185748956321619273995296204051089162755406326918002851725456094515986352638359750871724389559650116985485055468323171942073267681563245891017080627846233532854765223530560903626317019225616509122615816904157, n2=130417271914008469774772513048100177682718252184445255670557210033147748945505082171033296925395333332185364454915716215654815972284641782085075789914136774455974842959240262141717385180275091611102318088854796373595596682727487612887145116756903134663908094899690235895528257597664902472511241893136635375653, e=108930033611549941721192254288349471016365815628505960449802961076450549711344346595974359914058413039368517682690961109133846874718648801067888096644923102204875288040606099004660763152239033926870892882490035457512422097852635785610237963152095635120968054352198689922454779995168246566213955471437067944179",shared_prime,"p=10671946973583436349640940702265219591001663321521537249036910569880871659837501387254865102052430862490192609974698997275679303836287756377403187860407359, q=11920030516680781335269073599237639522549148456582988030086028966130233592499803033660879177679023573860067193618343018974214500779826595384380966678161123, q2=12220569708304766442136118043179545554640368029935974758317110796251762315619974166446550869978664387831669610098961746722335496458360198386739887753421467, φ(n)=127209933597513669470460539528999303760982327439553932212880973532611403674007457885449666491293946321185748956321619273995296204051089162755406326918002829133478604251768667728345449368865276008838338880959776345383635930968015344258824975272800896391797182594961630488544653732512403111264747338461278335676, φ(n2)=130417271914008469774772513048100177682718252184445255670557210033147748945505082171033296925395333332185364454915716215654815972284641782085075789914136751563458161071037470364658639735509945969070966631342789019574230550093512155411591415340931103568657773037470162234784259582864607824556477750061021546828",RSA,rsa,shared prime,flag{kq9z4nm2},51586720790344687192412810552278729791631514809153913011765043486780096438295102621076913922412466686581887539784858774640683703151654138202502742875476795467881316767133758222108472660358606053249320888455645185385592902165234027234966826333562986582392933562517957257772999567275526347898627174158877081262,not defined
,Blum integers are products of primes congruent to 3 modulo 4. These integers have unique properties in cryptography.,,"An eager intern encrypted the flag using RSA, but mistakenly chose both primes as Blum integers. Can you recover the plaintext? Ciphertext: 4768994067004164225623665590771154230585873742979303422999401757126278039042422150804261768747484646622434198016926343212103060194508999585661499072723290

The flag format is flag{...}
n=8196611948293725101620610085069728662698660135874041989816005301522332383668740436918212742996872092093829339751961752371957378931440884787122316985294257, e=1173818059076774406278080975424395322916966264121762551775206750231007894891390925370435843040657966580203061761486023346305165336028463956486050443688407
The lower 104 bits of p are: 54458386860413337222686886161394812271
",,"The flag format is flag{...}
n=8196611948293725101620610085069728662698660135874041989816005301522332383668740436918212742996872092093829339751961752371957378931440884787122316985294257, e=1173818059076774406278080975424395322916966264121762551775206750231007894891390925370435843040657966580203061761486023346305165336028463956486050443688407
The lower 104 bits of p are: 54458386860413337222686886161394812271
",blum_integers,"p=113670500644396239495353710266764304858763129956155710960135153260766037656943, q=72108523335669886457365597320366059861614145868779630317696421752759906418399, φ(n)=8196611948293725101620610085069728662698660135874041989816005301522332383668554657894232676870919372786242209387241375096132443590163053212108791041218916",RSA,rsa,blum integers,flag{rwdc0jco},4768994067004164225623665590771154230585873742979303422999401757126278039042422150804261768747484646622434198016926343212103060194508999585661499072723290,not defined
,AES-GCM with nonce reuse is vulnerable. Exploit the relationship between the ciphertexts to recover the flag.,bdd0e9a3abfdeab68641ce2884cee9bc,"The developer reused a nonce with AES-GCM to send two sensitive messages. Both ciphertexts are accidentally logged together: ciphertext1:a0dcb9233bb9e22816e162be553d, ciphertext2: b2d8b13760bce8621ee67fae5660b0d61c4e. Can you recover the secrets?

The flag format is flag{...}",87162be2753de6c3a19c24668d7d97c1,The flag format is flag{...},aes_gcm,The nonce used for both encryptions is: 69cd1ecece8612ea56b6a5e8,AES-GCM,aes,nonce reuse,flag{lyjfhi0b},"ciphertext1:a0dcb9233bb9e22816e162be553d, ciphertext2: b2d8b13760bce8621ee67fae5660b0d61c4e",not defined
CCM,AES-CCM with nonce reuse is vulnerable. Exploit the relationship between the ciphertexts to recover the flag.,1d0a8175ed104e4cdef0147e8cb8b9b4,"An encrypted heist plan was intercepted. Rumor has it AES was used. Crack the code: ciphertext1:9eaadffc0904332cc03d49311e5d, ciphertext2: 9eaadffc0900383dd0764b6c155d

The flag format is flag{...}",9c1ffca883da632dc61723b0250804d5,The flag format is flag{...},aes_ccm,The nonce used for both encryptions is: 7b4f6ccea3d7b7109eb4a3,AES,aes,,flag{bzyysqor},"ciphertext1:9eaadffc0904332cc03d49311e5d, ciphertext2: 9eaadffc0900383dd0764b6c155d",not defined
,AES-XTS with tweak reuse is vulnerable. Exploit the relationship between the ciphertexts to recover the flag.,,"
A rogue sysadmin encrypted secret blueprints with AES-XTS before vanishing. Only ciphertext1:8bcf2e3be7182d3eb972193109b0a200, ciphertext2: c321c21325d492c1e65ce362e1ffec3592466b6d0b830a0cb8d567ae9c148e2e remains—can you uncover the hidden plans?


The flag format is flag{...}",,The flag format is flag{...},aes_xts,The tweak used for both encryptions is: 8b81c731241060dcad11b048aafdac7a,AES-XTS,aes,,flag{la2lb086},"ciphertext1:8bcf2e3be7182d3eb972193109b0a200, ciphertext2: c321c21325d492c1e65ce362e1ffec3592466b6d0b830a0cb8d567ae9c148e2e",not defined
,AES-CFB allows for bit-flipping attacks. Use the known prefix to manipulate the ciphertext and recover the flag.,,"A hacker encrypted the vault passphrase with AES-CFB, but deleted the key. Can you recover the secret from this ciphertext: 6cef3fc65ee5fec604519e1adedfebaff4fef67e3eb05f3928e62a5c0bd4c4379318f32405396b7ec6dd68a85dd9cce737eda61357c478d9ada99e70ebc225afa771fbe68ffdacce92957c84c0d55493dba3dff887d894812889c204542cd51bafddbec5037a0bcdf11c19f0857e3b2118d253ff3a37f6e4850bc498046d2e79a613b901493465737c3eff806af1e6e0ac40617a0ce317010e02f2b49858b53e16e753f15324515d44cc44330a4216de15?

The flag format is flag{...}
The plaintext starts with: In cryptography, a block cipher mode of operation is an algorithm that uses a block cipher to provide information security such as confidentiality or authenticity.",,"The flag format is flag{...}
The plaintext starts with: In cryptography, a block cipher mode of operation is an algorithm that uses a block cipher to provide information security such as confidentiality or authenticity.",aes_cfb,The initialization vector (IV) is: 950f2f6cb9f297cb47ba834e829ed3e8,AES-CFB,aes,,flag{3vg3kqa7},6cef3fc65ee5fec604519e1adedfebaff4fef67e3eb05f3928e62a5c0bd4c4379318f32405396b7ec6dd68a85dd9cce737eda61357c478d9ada99e70ebc225afa771fbe68ffdacce92957c84c0d55493dba3dff887d894812889c204542cd51bafddbec5037a0bcdf11c19f0857e3b2118d253ff3a37f6e4850bc498046d2e79a613b901493465737c3eff806af1e6e0ac40617a0ce317010e02f2b49858b53e16e753f15324515d44cc44330a4216de15,not defined
,A small prime field with small group order means discrete log can be brute-forced easily.,,"Agent K encoded the meeting spot using ECC on a small order curve. Only those who can decrypt Public key: (3, 6) will locate the rendezvous before midnight.

Curve equation: y^2 = x^3 + 2*x + 3 (mod 97)
Generator G = (3, 6), group order ~ 5
Find d such that d*G = PublicKey.The flag format is flag{private_key}",,"Curve equation: y^2 = x^3 + 2*x + 3 (mod 97)
Generator G = (3, 6), group order ~ 5
Find d such that d*G = PublicKey.The flag format is flag{private_key}",small_order_curves,"Private key: d=1
We used p=97, a=2, b=3, G=(3, 6), group order=5",ECC - small_order_curves,ecc,,flag{1},"Public key: (3, 6)",not defined
,We used a composite number instead of a prime. Elliptic curve operations over non-prime fields are insecure. Try factoring p or brute-forcing the discrete log.,,"During a hasty deployment, an engineer misconfigured the ECC parameters. Crack the message below by exploiting the faulty curve.Public key: (66, 76)

Curve: y^2 = x^3 + 1*x + 1 mod 119
Generator G=(2, 4)
Public key = d * G. Recover d to get the flag.The flag format is flag{private_key}",,"Curve: y^2 = x^3 + 1*x + 1 mod 119
Generator G=(2, 4)
Public key = d * G. Recover d to get the flag.The flag format is flag{private_key}",faulty_curve_parameters,"Private key (not revealed to players): d=3
Parameters: p=119, a=1, b=1, G=(2, 4).",ECC - faulty_curve_parameters,ecc,,flag{3},"Public key: (66, 76)",not defined
,"Two different messages were signed using the *same* nonce k. In ECDSA, reusing k reveals the private key via algebraic manipulation.",,"Someone got lazy and signed two transactions using the same nonce. Here are the ECDSA-signatures: message1: Welcome to ECDSA reuse puzzle! signature1: c07fbaa5536465a46681fc886440f147c4abd94e2a1bcff6a9c2057bf6d09fab27235d088f4559795839940f4d86db0b36bed50b8f5b5565c1677711c44b655b message2: My second message! signature2: c07fbaa5536465a46681fc886440f147c4abd94e2a1bcff6a9c2057bf6d09fabd3c67218222ac9f01e2cbe76198336b15199dd64d3254a86c08d38dce56802e1 public_key_x: 4999411308125955152358669332916421906249538874378194729420338373330491400237 public_key_y: 92145227731521136382744912015008887836894271257449384880719680020558210789947 . Can you recover the private key?

You have two signatures over two messages, both using the same ephemeral nonce k.
Signatures: (r, s1) and (r, s2). Public key is (x, y). Find the private key d.
The flag format is flag{private_key_int}",,"You have two signatures over two messages, both using the same ephemeral nonce k.
Signatures: (r, s1) and (r, s2). Public key is (x, y). Find the private key d.
The flag format is flag{private_key_int}",reused_nonce_ecdsa,"private_key_int = 100216273323450800179195657292606178346828807441409059878124666327513219281957
n=115792089237316195423570985008687907852837564279074904382605163141518161494337, k=37043072389319368483380875970605787735327646993067394281175897377628421374045ECDSA equation: s = k⁻¹ (H(m) + d·r) mod n; repeated k => big trouble.",ECDSA - reused_nonce,ecc,,flag{100216273323450800179195657292606178346828807441409059878124666327513219281957},message1: Welcome to ECDSA reuse puzzle! signature1: c07fbaa5536465a46681fc886440f147c4abd94e2a1bcff6a9c2057bf6d09fab27235d088f4559795839940f4d86db0b36bed50b8f5b5565c1677711c44b655b message2: My second message! signature2: c07fbaa5536465a46681fc886440f147c4abd94e2a1bcff6a9c2057bf6d09fabd3c67218222ac9f01e2cbe76198336b15199dd64d3254a86c08d38dce56802e1 public_key_x: 4999411308125955152358669332916421906249538874378194729420338373330491400237 public_key_y: 92145227731521136382744912015008887836894271257449384880719680020558210789947 ,not defined
,"The input string is short, so a brute force or dictionary attack might succeed.",,"
An archivist lost a password-protected file, but only has its MD5 hash. Exploit MD5's weakness to recover the original password: c3da639467cc372c3b3bcc067ed3593b


The flag format is flag{...}",,The flag format is flag{...},md5_reverse,,MD5,hash,MD5 reversing,flag{ROBDR},c3da639467cc372c3b3bcc067ed3593b,not defined
,You can brute-force the solution.,,"After rushing a password vault's launch, the devs reused weak salts with SHA-256. Now someone posted 32af6f4dd023801e3202079ad028406b77a48a4ccdef76159f40a6ae7c96c815 from the database—can you recover the original?

The salt is the flag with the format flag{salt}.
The code that generated the flag:
salt = ''.join(random.choice(string.ascii_lowercase + string.digits) for _ in range(3))hashlib.sha256((salt + ""apple"").encode('utf-8')).hexdigest()",,"The salt is the flag with the format flag{salt}.
The code that generated the flag:
salt = ''.join(random.choice(string.ascii_lowercase + string.digits) for _ in range(3))hashlib.sha256((salt + ""apple"").encode('utf-8')).hexdigest()",poor_random_salt,,SHA-256,hash,poor random salt,flag{kn1},32af6f4dd023801e3202079ad028406b77a48a4ccdef76159f40a6ae7c96c815,easy
,Brute force should work.,,"The hacker left a secret message, but only its SHA-256 hash remains: 9fe5e461f2308fd3bcdd8a5f4ee8a226a30b539095d5c1f0d085d7fe8c1a8b98. Can you recover the original password?

The secret is only 4 characters (a-z, 0-9).
The flag format is flag{secret}
The hashing process was:
hash = secret
for _ in range(5):
    hash = hashlib.sha256(hash.encode('utf-8')).hexdigest()",,"The secret is only 4 characters (a-z, 0-9).
The flag format is flag{secret}
The hashing process was:
hash = secret
for _ in range(5):
    hash = hashlib.sha256(hash.encode('utf-8')).hexdigest()",iterated_hash_challenge,,SHA-256,hash,,flag{7i1p},9fe5e461f2308fd3bcdd8a5f4ee8a226a30b539095d5c1f0d085d7fe8c1a8b98,not defined
,The seed range is small enough for brute-force. Try recreating the PRNG sequence.,,"My startup's password vault uses a ""secure"" random generator. Can you recover my password from this encrypted note? Ciphertext: 64786373792673607322727a3769

The flag format is flag{...}
secret_num = rng.randint(0, 2**10)
A secret number was generated using Python's PRNG with a seed from 0 to 9,999. This number was used as a symmetric key to XOR-encrypt the flag.",,"The flag format is flag{...}
secret_num = rng.randint(0, 2**10)
A secret number was generated using Python's PRNG with a seed from 0 to 9,999. This number was used as a symmetric key to XOR-encrypt the flag.",predictable_seed,"If you can predict or brute-force the seed, you can reconstruct the PRNG output and decrypt the flag.",Predictable PRNG,prng,,flag{2qtq6pn5},64786373792673607322727a3769,not defined
,A predictable source of entropy was used to generate a secret number. Think about system time.,,"After a server breach, the key logs were erased, but a single message remained: 666c67647b707f3b79386234377d. Can you recover the secret, knowing the cipher relied on synchronized clocks?

The flag format is flag{...}
secret_num = rng.randint(0, 92796)
The system time when the encryption process started was around: 2025-05-17 13:44:35 UTC. This number was used as a symmetric key to XOR-encrypt the flag.",,"The flag format is flag{...}
secret_num = rng.randint(0, 92796)
The system time when the encryption process started was around: 2025-05-17 13:44:35 UTC. This number was used as a symmetric key to XOR-encrypt the flag.",time_based_seed,secret_num = 1539.,Time-based PRNG,prng,,flag{py8y8d77},666c67647b707f3b79386234377d,not defined
,The PRNG seed space is small. You can try brute-forcing all possible seeds to reconstruct the sequence.,,"Our secret chat app used a quick homemade PRNG to encrypt this flag. Can you break its low entropy and recover the original message from 666c63ee7b7976bb786c6fbc6d7d?

The flag format is flag{...}
A random number generator was seeded using an 8-bit value (0-255). The first outputs of the generator are: [463, 573, 476, 462, 520, 601, 194, 189, 524, 487, 644, 628, 190, 96, 457, 310, 145, 92, 551, 710]. The next PRNG output was used as a symmetric key to XOR-encrypt the flag.
secret_num = rng.randint(0, 745)",,"The flag format is flag{...}
A random number generator was seeded using an 8-bit value (0-255). The first outputs of the generator are: [463, 573, 476, 462, 520, 601, 194, 189, 524, 487, 644, 628, 190, 96, 457, 310, 145, 92, 551, 710]. The next PRNG output was used as a symmetric key to XOR-encrypt the flag.
secret_num = rng.randint(0, 745)",low_entropy_generator,"Since the seed has only 256 possible values, it can be brute-forced to recover the secret number and decrypt the flag.",Low-entropy PRNG,prng,,flag{yt2xlm5m},666c63ee7b7976bb786c6fbc6d7d,not defined
,Linear Feedback Shift Registers (LFSRs) have predictable cycles. The initial state is given.,,"The vault's alarm uses a stream cipher vulnerable to repeating states. This intercepted message, f19af691eccfe7c7f4c7f8c5a48b, might help you break in. Can you recover the secret?

The flag format is flag{...}
A 16-bit LFSR was used with taps [0, 2, 3, 5]. The first 10 outputs are given below. The next LFSR output was used to XOR-encrypt the flag.
[55773, 60654, 63095, 64315, 64925, 65230, 32615, 49075, 24537, 12268]",,"The flag format is flag{...}
A 16-bit LFSR was used with taps [0, 2, 3, 5]. The first 10 outputs are given below. The next LFSR output was used to XOR-encrypt the flag.
[55773, 60654, 63095, 64315, 64925, 65230, 32615, 49075, 24537, 12268]",lfsr_weakness,"LFSRs are linear, meaning their entire sequence can be reconstructed given enough outputs.",LFSR Weakness,prng,,flag{9p1c1o33},f19af691eccfe7c7f4c7f8c5a48b,not defined
,LCGs are deterministic. Find the seed or deduce the next output to recover the encryption key.,,"The secret passcode was encrypted using an LCG-based method. Can you predict the next output and recover the flag from this ciphertext? 229b690d3f826b1f2ec0600b2d8a

The flag format is flag{...}
A Linear Congruential Generator (LCG) was used with the following parameters:
  - Modulus: 1302969051
  - Multiplier: 616732260
  - Increment: 728490861
The first 5 outputs of the LCG are provided: [251039523, 74818854, 303971562, 706277907, 412513587] 
The next output was used as a symmetric key to XOR-encrypt the flag.",,"The flag format is flag{...}
A Linear Congruential Generator (LCG) was used with the following parameters:
  - Modulus: 1302969051
  - Multiplier: 616732260
  - Increment: 728490861
The first 5 outputs of the LCG are provided: [251039523, 74818854, 303971562, 706277907, 412513587] 
The next output was used as a symmetric key to XOR-encrypt the flag.",congruential_generator_flaw,LCGs have a known mathematical structure. Recovering the seed allows predicting all future values.,LCG Predictability,prng,,flag{ucuj7hai},229b690d3f826b1f2ec0600b2d8a,not defined
,JWT tokens with 'alg: none'.,,"
A rogue admin signed a JWT granting root privileges. Can you exploit the token below and uncover the hidden secret? Token: eyJhbGciOiAibm9uZSIsICJ0eXAiOiAiSldUIn0.eyJtc2ciOiAiZmxhZ3tsdmk5N3M3Mn0ifQ.
",,,jwt_none_algorithm,,JWT,web_crypto,,flag{lvi97s72},eyJhbGciOiAibm9uZSIsICJ0eXAiOiAiSldUIn0.eyJtc2ciOiAiZmxhZ3tsdmk5N3M3Mn0ifQ.,easy
,ECB mode with a short key makes brute-forcing possible. Consider the small key entropy.,,"Intercepted a secret message, encrypted with AES-ECB. Rumor says they used a 2-byte key padded with nulls. Can you recover the plaintext? Ciphertext: f2afa3df7585590446c2c8e839522512

An encryption key that is only 2 bytes long?.",,An encryption key that is only 2 bytes long?.,weak_cookie_encryption,Padding follows PKCS#7. The key is padded to 16 bytes with null bytes.,AES-ECB,web_crypto,small key padded with null bytes,flag{h8b11o7w},f2afa3df7585590446c2c8e839522512,easy
,The prime used in this key exchange is small. You can recover the private key by brute-force.,,"Agents exchanged keys via Diffie-Hellman, but their secret message was intercepted. Recover the original message from this a459010e92ab8beac54a02ef64b2 ciphertext to expose their plan.

The key exchange uses a prime modulus of 101 and generator 2.
Alice's public key is 30 and Bob's public key is 9.
You received a tip that the private values are at most two digits.
You got access to some of the code:
encryption_key = hashlib.sha256(str(shared_key).encode()).digest()[:16]
encrypted_flag = bytes(a ^ b for a, b in zip(flag.encode(), encryption_key))",,"The key exchange uses a prime modulus of 101 and generator 2.
Alice's public key is 30 and Bob's public key is 9.
You received a tip that the private values are at most two digits.
You got access to some of the code:
encryption_key = hashlib.sha256(str(shared_key).encode()).digest()[:16]
encrypted_flag = bytes(a ^ b for a, b in zip(flag.encode(), encryption_key))",broken_key_exchange,"secret_a=94, secret_b=38",Diffie-Hellman,web_crypto,,flag{zlvln5n7},a459010e92ab8beac54a02ef64b2,not defined
,Hex decoding is reversible. Session tokens often contain structured data.,,The dev left an old web demo online. Its login uses a suspiciously simple Insecure Session Token cipher: 757365725f746231343a666c61677b636a743263776e397d3a31373437343832323833. Can you recover the admin's session?,,,insecure_session_token,Token generation code: 'user_tb14:flag{cjt2cwn9}:1747482283'.encode('utf-8').hex(),Insecure Session Token,web_crypto,,flag{cjt2cwn9},757365725f746231343a666c61677b636a743263776e397d3a31373437343832323833,easy
,Identical nonce usage breaks ECDSA security. What's common between the signatures?,,"The developer accidentally reused the same nonce while signing two different messages. Can you recover the private key from the following ECDSA signatures? Ciphertext: Sig1: c050c3f0b8d45b9e093a91cb96d097b24100e66585d0d8561e01c1231837493fbf35a32ea91eaa11301e67a03e259df631d4b5c70ed05371f8e9fc42c0e7dc99
Sig2: c050c3f0b8d45b9e093a91cb96d097b24100e66585d0d8561e01c1231837493fa92d86a215d1659fc38715cfd19dd50639d48a1c16fd2df8cf2dc0cae084da81

Public Key (x,y): (6101793711867615199331348591196796173599581490754100661607587080397791129184, 75021045661104943172036652466384810193809308190286115153944842414036106175963)
Messages:
1. CTF challenge message
2. Second signed message
Curve: secp256k1The flag format is flag{hex(private_key)}",,"Public Key (x,y): (6101793711867615199331348591196796173599581490754100661607587080397791129184, 75021045661104943172036652466384810193809308190286115153944842414036106175963)
Messages:
1. CTF challenge message
2. Second signed message
Curve: secp256k1The flag format is flag{hex(private_key)}",ecdsa_nonce_reuse,,ECDSA Nonce Reuse,signature_schemes,,flag{9b28103be1fe56ebf6f69eebc99d3fdf3ff9536d27db4b0a61c2f096e07a1bfa},"Sig1: c050c3f0b8d45b9e093a91cb96d097b24100e66585d0d8561e01c1231837493fbf35a32ea91eaa11301e67a03e259df631d4b5c70ed05371f8e9fc42c0e7dc99
Sig2: c050c3f0b8d45b9e093a91cb96d097b24100e66585d0d8561e01c1231837493fa92d86a215d1659fc38715cfd19dd50639d48a1c16fd2df8cf2dc0cae084da81",not defined
,What happens when you cube small numbers? Remember e=3!,,"The CEO left a signed message to unlock the funds, but used an insecure exponent. Recover the original message from this signature: 0x79cbf57dde5f88de6da9501f38f0fd6678213e80103b5552e908b691cfb6c46a98a7a533667b5efe89e2198c0e46734a2ce6833cc957c5be30ed7564c468ee99

Public Key (n, e): (7780462102393228804973853714241461035279378333286907662198000939655016529868834959305377409296938045615227584369431911006667357829543605332569058319774463, 3)",,"Public Key (n, e): (7780462102393228804973853714241461035279378333286907662198000939655016529868834959305377409296938045615227584369431911006667357829543605332569058319774463, 3)",rsa_sign_with_low_public_exponent,,RSA Low-Exponent Signature,signature_schemes,,flag{ex0ixb4q},0x79cbf57dde5f88de6da9501f38f0fd6678213e80103b5552e908b691cfb6c46a98a7a533667b5efe89e2198c0e46734a2ce6833cc957c5be30ed7564c468ee99,not defined
,Caesar ciphers are easily broken by brute force or frequency analysis.,,"Julius encoded his secret battle plans with a simple shift. Can you uncover his message? The plans are: wcrx{o1ni9cam}

The flag format is flag{...}",,The flag format is flag{...},caesar,The shift used is: 17,Caesar,classical_cipher,,flag{x1wr9ljv},wcrx{o1ni9cam},easy
,Vigenère ciphers are vulnerable to Kasiski examination and frequency analysis.,,"Decipher the message intercepted between rival hackers. They used a classic Vigenère cipher. The encrypted text is: kxed{uv1ka2u3}

The flag format is flag{...}
The keyword is: fmexv",,"The flag format is flag{...}
The keyword is: fmexv",vigenere,,Vigenère,classical_cipher,,flag{zq1yw2x3},kxed{uv1ka2u3},not defined
,Playfair is vulnerable to digraph frequency analysis.,,"
Intercepted during a covert exchange, this message hides coordinates using a Playfair cipher. Can you decrypt pmanfewqbhsbhrgatusrfewqbhstoqbpdlpxgadptnltanfewqbhsbhrgaxrpchdrlefyqizgdnskbgvbswsrmltndakrgoqabtefhtngauhstnomrbnefbmindhrqcrrmrormltbkwpbnufehfsotfgbv to uncover the meeting spot?


The flag format is flag{...}
The keyword is: lfuqofeu",,"The flag format is flag{...}
The keyword is: lfuqofeu",playfair,"The playfair table is [['l', 'f', 'u', 'q', 'o'], ['e', 'a', 'b', 'c', 'd'], ['g', 'h', 'i', 'k', 'm'], ['n', 'p', 'r', 's', 't'], ['v', 'w', 'x', 'y', 'z']]",Playfair,classical_cipher,,flag{qpzmlhe2},pmanfewqbhsbhrgatusrfewqbhstoqbpdlpxgadptnltanfewqbhsbhrgaxrpchdrlefyqizgdnskbgvbswsrmltndakrgoqabtefhtngauhstnomrbnefbmindhrqcrrmrormltbkwpbnufehfsotfgbv,not defined
,Hill ciphers can be broken using known-plaintext attacks and linear algebra mod 26.,,"An intercepted spy message was encrypted using a matrix-based cipher. Can you break the Hill cipher to reveal the hidden plans? Ciphertext: cibegyefslhmanswqfpbexdshszmthqfuixbgxxbgsyswlpuwkqeuzggirfeybahaqtand

The flag format is flag{...}
You got a tip from a friend that the encrypted message starts with: welcome to the ancient library. hidden within these words is your key: ",,"The flag format is flag{...}
You got a tip from a friend that the encrypted message starts with: welcome to the ancient library. hidden within these words is your key: ",hill,"The matrix used is: [[17, 24], [24, 13]]",Hill,classical_cipher,,flag{nqtsknkf},cibegyefslhmanswqfpbexdshszmthqfuixbgxxbgsyswlpuwkqeuzggirfeybahaqtand,not defined
,Rail Fence is a simple transposition cipher vulnerable to reconstruction by analyzing positions.,,"
Hidden in the railway station logs, a conductor left this jumbled message. Can you decode his directions? Ciphertext: fa{hj5mlg8ipu}


The flag format is flag{...}",,The flag format is flag{...},rail_fence,The rails value is: 2,Rail Fence,classical_cipher,,flag{8hijp5um},fa{hj5mlg8ipu},not defined
,Simple substitution ciphers are susceptible to frequency analysis.,,"
A message from an undercover agent was intercepted. It’s encrypted with a substitution cipher. Can you recover the original text from this cryptic ws mtcaijxtdaoc, d pyqpiwiyiwjs mwaokt wp d lkiojg jz ksmtcaiwsx ws nowmo yswip jz ahdwsikbi dtk tkahdmkg nwio iok mwaoktikbi, ws d gkzwskg ldsskt, nwio iok okha jz d vkc; iok ""yswip"" ldc qk pwsxhk hkiiktp (iok ljpi mjlljs), adwtp jz hkiiktp, itwahkip jz hkiiktp, lwbiytkp jz iok dqjuk, dsg pj zjtio. iok tkmkwukt gkmwaoktp iok ikbi qc aktzjtlwsx iok wsuktpk pyqpiwiyiwjs atjmkpp ij kbitdmi iok jtwxwsdh lkppdxk. hwvknwpk, edmrykp rywmvhc fwaakg iotjyxo d rykpiwjs js fktj-vsjnhkgxk atjjzp, kspytwsx sj mtwiwmdh hkiikt ndp hkzi jyi jz jyt mtcaijxtdaowm ayffhk.zhdx{8r52yeab}?


The flag format is flag{...}",,The flag format is flag{...},substitution,"The substitution map is: {'a': 'd', 'b': 'q', 'c': 'm', 'd': 'g', 'e': 'k', 'f': 'z', 'g': 'x', 'h': 'o', 'i': 'w', 'j': 'e', 'k': 'v', 'l': 'h', 'm': 'l', 'n': 's', 'o': 'j', 'p': 'a', 'q': 'r', 'r': 't', 's': 'p', 't': 'i', 'u': 'y', 'v': 'u', 'w': 'n', 'x': 'b', 'y': 'c', 'z': 'f'}",Substitution,classical_cipher,,flag{8q52ujpx},"ws mtcaijxtdaoc, d pyqpiwiyiwjs mwaokt wp d lkiojg jz ksmtcaiwsx ws nowmo yswip jz ahdwsikbi dtk tkahdmkg nwio iok mwaoktikbi, ws d gkzwskg ldsskt, nwio iok okha jz d vkc; iok ""yswip"" ldc qk pwsxhk hkiiktp (iok ljpi mjlljs), adwtp jz hkiiktp, itwahkip jz hkiiktp, lwbiytkp jz iok dqjuk, dsg pj zjtio. iok tkmkwukt gkmwaoktp iok ikbi qc aktzjtlwsx iok wsuktpk pyqpiwiyiwjs atjmkpp ij kbitdmi iok jtwxwsdh lkppdxk. hwvknwpk, edmrykp rywmvhc fwaakg iotjyxo d rykpiwjs js fktj-vsjnhkgxk atjjzp, kspytwsx sj mtwiwmdh hkiikt ndp hkzi jyi jz jyt mtcaijxtdaowm ayffhk.zhdx{8r52yeab}",not defined
